gene_name,ENTREZID
Zm00001d003247,542252
Zm00001d041804,542254
Zm00001d018742,542255
Zm00001d017614,542256
Zm00001d007949,542257
Zm00001d017274,542258
Zm00001d022505,542260
Zm00001d042453,542261
Zm00001d002768,542263
Zm00001d052164,542264
Zm00001d038929,542267
Zm00001d051898,542269
Zm00001d027373,542270
Zm00001d005135,542271
Zm00001d028850,542272
Zm00001d034760,542276
Zm00001d019648,542277
Zm00001d049995,542278
Zm00001d021703,542279
Zm00001d037985,542280
Zm00001d015300,542284
Zm00001d007446,542285
Zm00001d003395,542286
Zm00001d027488,542290
Zm00001d003401,542291
Zm00001d025287,542292
Zm00001d047548,542293
Zm00001d023904,542294
Zm00001d032385,542295
Zm00001d021901,542299
Zm00001d051591,542301
Zm00001d007775,542303
Zm00001d023529,542304
Zm00001d036360,542305
Zm00001d010656,542307
Zm00001d039065,542309
Zm00001d033422,542310
Zm00001d024839,542311
Zm00001d014614,542312
Zm00001d034256,542313
Zm00001d016708,542314
Zm00001d030373,542316
Zm00001d049753,542318
Zm00001d004125,542319
Zm00001d048998,542320
Zm00001d026599,542321
Zm00001d053838,542322
Zm00001d009653,542323
Zm00001d014947,542324
Zm00001d041781,542325
Zm00001d023955,542326
Zm00001d053765,542327
Zm00001d015569,542328
Zm00001d037962,542331
Zm00001d033585,542332
Zm00001d051001,542333
Zm00001d027871,542334
Zm00001d009011,542336
Zm00001d009652,542337
Zm00001d001899,542338
Zm00001d014679,542339
Zm00001d010128,542340
Zm00001d053633,542341
Zm00001d003817,542342
Zm00001d044686,542343
Zm00001d020004,542344
Zm00001d008221,542345
Zm00001d023425,542346
Zm00001d040686,542347
Zm00001d036480,542348
Zm00001d041660,542349
Zm00001d047522,542350
Zm00001d019169,542351
Zm00001d018738,542352
Zm00001d021729,542354
Zm00001d038832,542355
Zm00001d043609,542356
Zm00001d051995,542357
Zm00001d033746,542358
Zm00001d017111,542359
Zm00001d029457,542360
Zm00001d000418,542362
Zm00001d033931,542363
Zm00001d049059,542364
Zm00001d045042,542365
Zm00001d012675,542366
Zm00001d049641,542367
Zm00001d003429,542368
Zm00001d014848,542369
Zm00001d046170,542372
Zm00001d037894,542373
Zm00001d031899,542374
Zm00001d018971,542375
Zm00001d010588,542376
Zm00001d037783,542378
Zm00001d046898,542379
Zm00001d010275,542380
Zm00001d034413,542382
Zm00001d037988,542384
Zm00001d013067,542385
Zm00001d017857,542386
Zm00001d028693,542388
Zm00001d051685,542389
Zm00001d038397,542390
Zm00001d033859,542391
Zm00001d023223,542392
Zm00001d020057,542393
Zm00001d030617,542394
Zm00001d013159,542395
Zm00001d033747,542400
Zm00001d051804,542401
Zm00001d052736,542404
Zm00001d040260,542405
Zm00001d010758,542406
Zm00001d012553,542407
Zm00001d011080,542408
Zm00001d038783,542409
Zm00001d010797,542410
Zm00001d012773,542411
Zm00001d011242,542412
Zm00001d023994,542414
Zm00001d038545,542415
Zm00001d033457,542416
Zm00001d013612,542417
Zm00001d040508,542418
Zm00001d028948,542420
Zm00001d025305,542421
Zm00001d051881,542422
Zm00001d037582,542424
Zm00001d018415,542425
Zm00001d047808,542426
Zm00001d006283,542427
Zm00001d021497,542430
Zm00001d048611,542432
Zm00001d002690,542434
Zm00001d045675,542435
Zm00001d009780,542436
Zm00001d031136,542438
Zm00001d043452,542440
Zm00001d053010,542441
Zm00001d018383,542444
Zm00001d034644,542445
Zm00001d018090,542446
Zm00001d027819,542448
Zm00001d029124,542449
Zm00001d000300,542450
Zm00001d020636,542451
Zm00001d011473,542452
Zm00001d035201,542454
Zm00001d051427,542455
Zm00001d036871,542458
Zm00001d034125,542460
Zm00001d025588,542462
Zm00001d032152,542463
Zm00001d002897,542464
Zm00001d019166,542466
Zm00001d024027,542467
Zm00001d040090,542468
Zm00001d012353,542469
Zm00001d020971,542470
Zm00001d021702,542472
Zm00001d039258,542473
Zm00001d028963,542474
Zm00001d029778,542475
Zm00001d007234,542476
Zm00001d021763,542478
Zm00001d016166,542479
Zm00001d047651,542480
Zm00001d037234,542481
Zm00001d000349,542482
Zm00001d006107,542483
Zm00001d012810,542484
Zm00001d040611,542487
Zm00001d030737,542488
Zm00001d039660,542489
Zm00001d021470,542490
Zm00001d048559,542491
Zm00001d023698,542492
Zm00001d039260,542493
Zm00001d048959,542494
Zm00001d047087,542496
Zm00001d044826,542497
Zm00001d017898,542498
Zm00001d038737,542499
Zm00001d047965,542502
Zm00001d010732,542503
Zm00001d030614,542504
Zm00001d037547,542505
Zm00001d006094,542506
Zm00001d042148,542507
Zm00001d003569,542508
Zm00001d028818,542509
Zm00001d010796,542510
Zm00001d000071,542511
Zm00001d020036,542512
Zm00001d020531,542514
Zm00001d048527,542515
Zm00001d007597,542517
Zm00001d018134,542519
Zm00001d028260,542520
Zm00001d036008,542521
Zm00001d005890,542522
Zm00001d042396,542523
Zm00001d043988,542525
Zm00001d021623,542526
Zm00001d002005,542528
Zm00001d009589,542530
Zm00001d003588,542531
Zm00001d045366,542532
Zm00001d040323,542533
Zm00001d028608,542534
Zm00001d012751,542536
Zm00001d006760,542537
Zm00001d048856,542538
Zm00001d044254,542539
Zm00001d028180,542540
Zm00001d005485,542542
Zm00001d016860,542543
Zm00001d012817,542544
Zm00001d033248,542545
Zm00001d050496,542547
Zm00001d046972,542548
Zm00001d014887,542549
Zm00001d025286,542550
Zm00001d026578,542551
Zm00001d026286,542552
Zm00001d052316,542553
Zm00001d008203,542554
Zm00001d037905,542555
Zm00001d045875,542556
Zm00001d052527,542557
Zm00001d045575,542558
Zm00001d023929,542560
Zm00001d036542,542561
Zm00001d041246,542562
Zm00001d036463,542563
Zm00001d037636,542564
Zm00001d029913,542566
Zm00001d025705,542568
Zm00001d032295,542569
Zm00001d049576,542570
Zm00001d029274,542571
Zm00001d011882,542572
Zm00001d017352,542573
Zm00001d028408,542576
Zm00001d012518,542578
Zm00001d045563,542580
Zm00001d046449,542581
Zm00001d021891,542582
Zm00001d050428,542583
